_id,name,price,author,genre,release_year,publisher,link,number_of_reviews
6407ae4377202a63bde23936,['Самая темная ночь '],202,Татьяна Корсакова,Русское фэнтези, 2022 ,Эксмо,https://book24.ru/product/samaya-temnaya-noch-6653191/,8
6407ae4377202a63bde23937,"['Дневник приключений Эльзы, Анны и Кристофа ']",137,Мазина С.П.,Книги по фильмам и мультфильмам, 2020 ,Эксмо,https://book24.ru/product/dnevnik-priklyucheniy-elzy-anny-i-kristofa-5177035/,10
6407ae4377202a63bde23938,['Искусство любить '],242,Эрих Фромм,Классическая психология, 16+ ,АСТ,https://book24.ru/product/iskusstvo-lyubit-191224/,86
6407ae4377202a63bde23939,['Гордость и предубеждение '],220,Джейн Остен,Классическая зарубежная литература, 16+ ,АСТ,https://book24.ru/product/gordost-i-predubezhdenie-196513/,106
6407ae4377202a63bde2393a,['Блог проказника домового '],90,Дарья Донцова,Эксмо, 2018 ,Редакция 1,https://book24.ru/product/blog-prokaznika-domovogo-2311476/,7
6407ae4377202a63bde2393b,['Гончие Лилит '],577,Кристина Старк,Современная русская проза, 2020 ,АСТ,https://book24.ru/product/gonchie-lilit-2686004/,74
6407ae4377202a63bde2393c,['Сгорая дотла '],577,Эмма Скотт,Зарубежная сентиментальная проза, 18+ ,Эксмо,https://book24.ru/product/sgoraya-dotla-6655063/,12
6407ae4377202a63bde2393d,['Цианид '],439,Кристина Старк,Русская сентиментальная проза, 2023 ,АСТ,https://book24.ru/product/tsianid-6597054/,26
6407ae4477202a63bde2393e,"['С меня хватит! 35 стратегий выживания в офисе, когда все вокруг бесит ']",109,Кордула Нуссбаум,"Это взрослая жизнь, детка! Книги для тех, у кого все впереди", 2020 ,Популярная психология,https://book24.ru/product/s-menya-khvatit-35-strategiy-vyzhivaniya-v-ofise-kogda-vse-vokrug-besit-5580943/,7
6407ae4477202a63bde2393f,['Штурм и буря '],535,Ли Бардуго,Зарубежное фэнтези, 2023 ,АСТ,https://book24.ru/product/shturm-i-burya-2688398/,95
6407ae4477202a63bde23940,[],91,Young Adult. Бестселлеры,Эксмо, Ефимова Елена Михайловна ,Freedom,https://book24.ru/product/shtorm-sveta-5569402/,11
6407ae4477202a63bde23941,['Мертвая комната '],202,Уилки Коллинз,Классическая зарубежная литература, 2022 ,АСТ,https://book24.ru/product/mertvaya-komnata-6614978/,8
6407ae4477202a63bde23942,['Тень и кость '],535,Ли Бардуго,Зарубежное фэнтези, 2022 ,АСТ,https://book24.ru/product/ten-i-kost-2182067/,213
6407ae4477202a63bde23943,['Аспид '],439,Кристина Старк,Современные любовные романы, 2023 ,АСТ,https://book24.ru/product/aspid-5911547/,76
6407ae4477202a63bde23944,['Второй шанс для Закатной Стражницы '],88,Елена Петрова,Русское фэнтези, 2020 ,Эксмо,https://book24.ru/product/vtoroy-shans-dlya-zakatnoy-strazhnitsy-5632876/,8
6407ae4577202a63bde23945,['как спастись от хаоса в доме и жизни '],143,Сабина Хааг,Домоводство, 12+ ,БОМБОРА,https://book24.ru/product/retsept-poryadka-kak-spastis-ot-khaosa-v-dome-i-zhizni-5672382/,6
6407ae4577202a63bde23946,['Долгая Прогулка '],250,Стивен Кинг,АСТ, 16+ ,Neoclassic,https://book24.ru/product/dolgaya-progulka-179968/,73
